Experiment,Model,Accuracy,F1_macro
1,Logistic Regression,0.7621995630007283,0.7665536183017337
1,Naive Bayes,0.7272396212672979,0.7352612222645935
1,SVM (LinearSVC),0.7447195921340131,0.7505070036959434
1,Random Forest,0.7334304442825929,0.7392240279098955
1,XGBoost,0.7534595775673707,0.7589248488371916
2,Logistic Regression,0.7705753823743627,0.7754844157586049
2,Naive Bayes,0.7345229424617625,0.7424084704117182
2,SVM (LinearSVC),0.7549162418062637,0.7598683217611266
2,Random Forest,0.7396212672978878,0.7464823306839755
2,XGBoost,0.7530954115076475,0.7584940218184255
3,Logistic Regression,0.7764020393299345,0.7812325539508774
3,Naive Bayes,0.7316096139839767,0.7398413494872793
3,SVM (LinearSVC),0.7643845593590677,0.7697413876658591
3,Random Forest,0.7505462490895849,0.7576168830796841
3,XGBoost,0.763292061179898,0.7687313602668957
4,Logistic Regression,0.7891478514202477,0.7938615724371182
4,Naive Bayes,0.735251274581209,0.7429200319836639
4,SVM (LinearSVC),0.7825928623452294,0.7880094651637884
4,Random Forest,0.7541879096868171,0.7616129694071277
4,XGBoost,0.7698470502549163,0.7756001625527157
5,Logistic Regression,0.8627093954843409,0.8667419619024486
5,Naive Bayes,0.7887836853605243,0.7944857489158554
5,SVM (LinearSVC),0.9217042971595047,0.9250688960521717
5,Random Forest,0.9992716678805535,0.9992778686470803
5,XGBoost,0.9031318281136198,0.9056257962305706
